,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Unnamed: 0
0,,,Azad Jammu and Kashmir,Pakistan,2021-05-07 04:20:40,34.027401,73.947253,17660,499,15098.0,2063.0,"Azad Jammu and Kashmir, Pakistan",436.5488808676397,2.82559456398641,
1,,,Balochistan,Pakistan,2021-05-07 04:20:40,28.328492,65.898403,23016,243,21361.0,1412.0,"Balochistan, Pakistan",186.4487952763713,1.0557872784150155,
2,,,Gilgit-Baltistan,Pakistan,2021-05-07 04:20:40,35.792146,74.982138,5358,107,5139.0,112.0,"Gilgit-Baltistan, Pakistan",528.6192362941798,1.9970138111235536,
3,,,Islamabad,Pakistan,2021-05-07 04:20:40,33.665087,73.121219,77414,702,65524.0,11188.0,"Islamabad, Pakistan",3858.022537940328,0.9068127212132172,
4,,,Khyber Pakhtunkhwa,Pakistan,2021-05-07 04:20:40,34.485332,72.09169,122520,3537,108462.0,10521.0,"Khyber Pakhtunkhwa, Pakistan",401.39734238397193,2.886875612144956,
5,,,Punjab,Pakistan,2021-05-07 04:20:40,30.811346,72.13913199999998,314517,8891,264647.0,40979.0,"Punjab, Pakistan",285.8922084467501,2.8268742230149724,
6,,,Sindh,Pakistan,2021-05-07 04:20:40,26.009446,68.77680699999999,289646,4698,267524.0,17424.0,"Sindh, Pakistan",604.8650785590986,1.6219799341264851,
7,,,Azad Jammu and Kashmir,Pakistan,2021-01-02 05:22:33,34.027401,73.947253,8303,224,7691.0,388.0,"Azad Jammu and Kashmir, Pakistan",205.2471890058897,2.697820065036734,0.0
8,,,Balochistan,Pakistan,2021-01-02 05:22:33,28.328492,65.898403,18181,184,17752.0,245.0,"Balochistan, Pakistan",147.28126290057813,1.012045542049392,1.0
9,,,Gilgit-Baltistan,Pakistan,2021-01-02 05:22:33,35.792146,74.982138,4862,101,4713.0,48.0,"Gilgit-Baltistan, Pakistan",479.6839729119639,2.0773344302756067,2.0
10,,,Islamabad,Pakistan,2021-01-02 05:22:33,33.665087,73.121219,38020,421,34617.0,2982.0,"Islamabad, Pakistan",1894.773773380672,1.1073119410836405,3.0
11,,,Khyber Pakhtunkhwa,Pakistan,2021-01-02 05:22:33,34.485332,72.09169,59023,1661,53942.0,3420.0,"Khyber Pakhtunkhwa, Pakistan",193.36986075358453,2.8141571929586773,4.0
12,,,Punjab,Pakistan,2021-01-02 05:22:33,30.811346,72.13913199999998,139341,4085,124125.0,11131.0,"Punjab, Pakistan",126.65931004422208,2.9316568705549693,5.0
13,,,Sindh,Pakistan,2021-01-02 05:22:33,26.009446,68.77680699999999,216632,3582,196134.0,16916.0,"Sindh, Pakistan",452.3906137091988,1.6534953284833265,6.0
14,,,Azad Jammu and Kashmir,Pakistan,2021-01-03 05:22:52,34.027401,73.947253,8325,226,7723.0,376.0,"Azad Jammu and Kashmir, Pakistan",205.7910211338109,2.714714714714715,7.0
15,,,Balochistan,Pakistan,2021-01-03 05:22:52,28.328492,65.898403,18218,185,17760.0,273.0,"Balochistan, Pakistan",147.58099375846942,1.0154791963991656,8.0
16,,,Gilgit-Baltistan,Pakistan,2021-01-03 05:22:52,35.792146,74.982138,4866,101,4716.0,49.0,"Gilgit-Baltistan, Pakistan",480.0786121327882,2.075626798191533,9.0
17,,,Islamabad,Pakistan,2021-01-03 05:22:52,33.665087,73.121219,38146,424,34940.0,2782.0,"Islamabad, Pakistan",1901.053139383984,1.1115189010643318,10.0
18,,,Khyber Pakhtunkhwa,Pakistan,2021-01-03 05:22:52,34.485332,72.09169,59255,1672,54383.0,3200.0,"Khyber Pakhtunkhwa, Pakistan",194.1299340757612,2.821702809889461,11.0
